id,description
KmiWHzQ4,[Hypxiel Skyblock Modpack] This modpack includes common clientside utilities along with the skyblocker liap mod.
idkvShUy,"Extreme Reactors is the original port of the 1.7.10 mod Big Reactors, by Erogenous Beef, rewritten for MC 1.9.4 / 1.10.x / 1.11 / 1.12.2 and 1.16.3 / 1.16.4 / 1.16.5 / 1.17.1 / 1.18.1 / 1.18.2 / 1.19 / 1.19.1 / 1.19.2 / 1.20 / 1.20.1"
8EwpjZay,Brings the sanity mechanic from Don't Starve into Minecraft
5bb5rG4b,Adds the popular Blåhaj plushies from ikea as well a collection of other plushies
E4PmmlqX,Rustic but classic
J9S0jXBm,This mod adds the music discs of the Prominence Original Soundtrack by Sideralis Music.
5cWCtJmf,Lovely and useful furniture for Minecraft
n9mFA0ax,Shows memory usage during loading.
x49wilh8,a create addon that adds decor blocks to spice up your factory!
YhRug9vd,Your items will never despawn while waiting for your return after death
mWdDy9A0,Phantom Loader is a library that automates part of the process of creating Minecraft mods for multiple mod loaders by generating loader-specific code at build time.
RGH5gtzF,Client-side mod to change window title (including special tokens) and window icon. Supports Forge & Fabric.
UUErFmkX,A JourneyMap plugin which displays chunks claimed via OpenPAC
q8MC5tW2,Turn Blocks Into Small Bits With Chisels; Build All The Things
LwwtuiRk,Adds compatible Trinket items for PlayerEx attributes.
79zyF4nY,"Adds textures, models, animations (and spawns if installed as a datapack too) for Pokémon that currently lack them in Cobblemon."
Cj8jrU7n,"Cobblemounts is a side-mod for Cobblemon that lets you mount Pokemon and use them to fly, swim, and travel."
VS1a14jA,Polymorph support for Applied Energistics 2.
Oo4rJCDP,When certain blocks such as crops or furnaces get out of simulation distance this mod will keep track of that so once the blocks get in again the mod will apply the changes it would have gotten if it never left the simulation distance.
td9zQQBq,"Sorcery, Necromancy, Bosses, and More!"
UIZkbR3j,Overhauls horses with various adjustments and training mechanics
AqVfGqcr,Magical flame that is an endless source of light
FwyGRcXc,"Blocks and items to help with Redflux (dimension builder, crafter, monitor, scanner, etc.)"
yY9oI7oz,An attempt at a mostly realistic shader that maintains decent performance; for Minecraft Java.
692GClaE,"Modonomicon is an in-game documentation mod inspired by Thaumcraft's Thaumonomicon and Patchouli, and aims to provide the best of both, with some unique flavors."
MmALiFwH,"Adds the mobs from the 2023 Minecraft Mob Vote (Crab, Armadillo and Penguin) to the game early!"
MsGuTgPJ,"This is a mod that detects unsafe off-thread world random access, helping to find causes of ""Accessing LegacyRandomSource from multiple threads"" crash."
Pwyu7to9,一个机械动力玩家必备的整合包，轻，快，小是它的特点！
W3QK7DQz,"Vanilla rendering, but with TAA"
Xt0pMhSq,A mod that adds seven mob-inspired totems to Minecraft.
a8jxvM0T,Partner mod to Enchantment Descriptions or idwtialsimmoedm that adds descriptions to the enchantments shown in Enchanting Tables
9gNVPfzw,Custom Capes anyone with the mod can see
s9gIPDom,A client-side mod that allows for extensive customization of the player model.
h3r1moh7,Create keybinds for commands!
hbKDMT6l,Some light sources can extinguish under various conditions.
fECIioDQ,Additional nether structure packs
DQKdq5re,"Allow the player to adjust the hurt camera effect on a slider, 1.8.9-1.12.2
Essential Mod is embedded."
OC5Zubbe,🌱 Keeps farmland soil tilled below a stem block (melon/pumpkin) after harvesting.
KLNkjT7v,Herobrine is slowly corrupting your world... defeat him before It's too late!
GoCfVRkX,"Adds celestrial events, such as shooting stars and occasional insomnia from full moon."
flmhXQgb,Removes lag when playing noteblocks
hFMCvH85,Allow you to edit signs
4JT4oKKX,Automatic updater for SkyClient mods
XwBDibES,"A client-side only mod to project shapes like circles and spheres into the world. It works both in singleplayer and multiplayer, even if the server doesn't have the mod installed."
BrRak9pu,"Modern, incredibly lightweight and customizable shaders for Iris"
mzD0SMDk,Adds new mobs!
uMcyUgtO,"Save your surface, find your underground adventure!"
oWx9p4ug,"Improve epicfight with more weapon, more animations, more skills, more epic and more FIGHT!"
toGHjw6t,Mekanism with open source patches
ZvitaqQh,"A shader now discontinued, which I decided to bring on Modrinth.
It's based on an old version of Chocapic13, and should work with 1.19.3."
9iE55lp5,Adds useful tips to loading screens
ZukQzaRP,"The mod integrated with RPMTW services covers translation, wiki, universe chat, Chinese input optimization, and other features for Minecraft players to get a better gaming experience."
diCZrsch,Allows dragging sliders further than intended
pkI4SefA,Explosive optimisations for your favourite block game.
wk57PrDM,A Minecraft Fabric mod that adds the Elytra to the cape slot in the Trinkets API.
d6MhxwRo,Let Soul Fire burn!
hvqcuDMT,See what CIT and CEM Renames are in your Resource Packs!
kDFtUgr8,Makes the Create Blaze Burners Accept liquids
SRDQqMfX,REI category showing villager trades
JVIyMkGt,A Fabric mod that shows an early loading screen and display information while the game is loading.
HUVG5gEu,"Adds a variety of craftable and unique new tridents, as well as other pokey weapons including spears and harpoons!"
FDrEl7QY,Improves the consistency of fire being disallowed in the Aether by adding new extinguished variants of blocks.
kFs9AeXi,An industrial mod made for Fabric.
8xOSkvVU,This pack aims to recreate the amazing visuals of the Minecraft Trailers inside the vanilla game.
KZAmykow,"Aims to add more ""Clutter"" to the game by adding more: blocks, items, entities and much more."
gOQjCAAD,Cook your plate with any combinations of ingredients. Create a balanced meal to get nutrition bonus
II7t6llZ,"This mod overhauls all vanilla biomes, with different sub biomes!"
f9kXyjJX,A simple mod to replace a given block with another.
EkEzjF3t,Oh The Biomes You'll Go compatibility for Fabric Seasons
ndHYMY2K,Enable Flywheel's optimizations when using shaderpacks.
2H1rLgy4,"A successor mod to the MrTroot's autofish mod, including bugfixs and new features."
YOs4tZea,"This mod lets you craft a blank canvas and a palette, with which you can paint your own pictures and hang them on a wall like the vanilla paintings."
5hppfLUZ,REI category showing loot tables
dpkYdLu5,A awesome mod which displays everyone's tier from the Vanilla Pvp Tierlist
I2K4u1Q7,Networking stack optimization mod and unofficial fork of Krypton mod for Minecraft Forge
hGAlcCDJ,A mechanical extruder block. Can be used to generate any block or item from adjacent blocks/fluids.
Wlq56PJK,Cosmetics and visual customization mod for SkyClient
C95ReXie,Adds resource crops for more than 150+ vanilla & modded materials!
a6F3uASn,"Additions module for Mekanism, contains things that don't quite fit in the other modules."
A4YQgwzz,Display a toast notification when music is played in game
2k6aLirX,Adds a big catalog of paintings to the game
P43RxVjo,Terrafirmacraft-Style ore generation and geological systems
Zoz5HQjH,"Skips title screen animation, Mojang logo fade in/fade out, sliding notifications, and more"
NSLJJooQ,"WorldEdit CUI is a graphical user interface for WorldEdit, designed to assist in using WorldEdit and prevent accidental errors."
Symh7COQ,Created Storage Network is an Resource Pack that updates the textures of this incredible mod made by Lothrazar with the textures of another incredible mod by Simibubi.
EMQzFaJ1,A Wynncraft utility mod
FTaA4pRW,Modifies combat to prevent friendly fire to pets and other mobs. 
1vwtOeW2,An add-on to Spirit that allows you to generate energy from reaping mobs and utilize the data in souls to affect nearby mobs and players
JOlyQnh1,An addon for Spirit that simulates the killing of mobs and their drops
sjxWxSao,"Adds parrying, enchantments, tiers and customization to shields for more fun!"
PlkSuVtM,Utility mod that contains really useful code for quite a few mods.
23PBx0DP,Telescopic and Squishy animations for pistons
slufHzC2,"This is a Player Animation texture pack for forge and fabric, it uses ETF and EMF, it works with many mods that use animations for your character like emotes, for example Parcool, Quark, Better Combat, Essential..."
rHpb85Mf,"A mod intended for other mod authors, it contains a revised multiblock API that support multiple client mods without performance penalities, a new new GUI system, a base BlockEntity implementation that simplifiy data syncronization and much more."
eNF4Bfla,"Displays a ""Now Playing"" popup whenever the music changes."
i090SePT,This mod deletes warning toast about connecting to a server without enforce secure chat.
oTNK0RPW,"What ""The Wild Update"" should and could have been"
5Z2YdwIT,An unofficial continuation of IngameIME. Use input method in full screen Minecraft.
qaO9Dqpu,More than just trees!
gxoNIjg6,"A web-based track map of your world's Create train system, complete with signals, stations, and trains moving in real time."
paCz780b,This mod allows the crosshair to follow the view bobbing and play the animation according to the player's actions.
po8iVUhc,A real smith can upgrade tools with gems
cRci7UZp,Makes crops grow faster when it's raining
por2AZc5,Let you create a custom skyblock island via config
Ioquzjs2,"This simple mod brings the bugfix for ""Player moved too quickly!"" from RandomPatches to a standalone mod. It removes the server side check for if a player moves too far too quickly which then teleports them back. "
7E6n9qa8,Add a welcome screen which displays information about a server/world/modpack
ngOW5XvY,Removes the main menu FPS limit. Fabric port of SmoothMenu by BookerCatch
bfneejKo,Syncmatica is a mod which aims to mod into litematica so that schematics and their placements can be easily shared.
NpvuJQoq,Allow older clients to connect to newer servers.
jmLyNFBG,"💰 Patches the anvil to set the default level cost, material cost and percentage repaired."
lSw4RpVn,Fix Create-Fabric Recipe display on REI issues.
BwFQLeCh,Change minecraft's loading screen to your liking! Completely configurable!
fXt291FO,Adds compatibility between the ComputerCraft and Create mod with peripherals!
wAqah5gr,XP Obelisk is a simple mod to store experience points. It's inspired by Ender Io's experience obelisk.
9IASI8W8,Nutrition system which has 5 nutrients to challenge your diet
PsMUgCo5,"Hyper Realistic Sky is the biggest, most versatile and feature rich sky pack you will ever find out there."
yjvKidNM,The Light Overlay Mod with a twist!
NoznOJXq,🕷 Spiders and cave spiders can periodically produce a cobweb/spiderweb when a player is close.
MVARlG2f,Comprehensive Load-Bearing Library for Modular Mods
eldBwa5V,ComputerCraft Tweaked for Fabric
GLspMh4E,disables rendering of name tags
lLqFfGNs,A gameplay-focused shader pack for Minecraft
Keq5OmV7,Spices up the look of End Cities in a Vanilla friendly way
WQTl2F9Y,"This mod add new trading station, that can be used to trade various minecraft items."
H6bJ8Ju4,An addon for the Create Minecraft mod that adds a way of controlling contraptions using an advanced controller
uZQipe0a,Modpack utility mod that allows to balance out damage dealt by players.
3JYl8URa,"MoreCosmetics adds cosmetics to Minecraft, such as hats, wings, shields and cloaks. Everything free and fully customizable!"
d1nRD7RG,A patch for Programmer Art
15fFZ3f4,A Create mod addon that adds more Framed Glass variants.
S27aYArf,Some machines & compats
Fv0dWWtc,simplistic per-mob icons and colors to decorate boss bars with
sbJh4AZw,"A ritual magic system centered around summonable spirits allows you to automate various tasks, store vast amounts of items, let demons mine in void dimensions, create powerful enchanted tools and jewelry, get support from familiars, and much much more."
23u6FAt6,"A simple autototem mod. If your totem pops in your offhand, it automatically gets replaced. The mod can be opted out on the server side."
qQpWCN75,"Music Maker Mod adds music sheets, instruments and other devices to the game for creating and playing music."
D2Q91keW,Minecraft Earth mobs ported to Minecraft Java Edition
7jzrCiK0,"Tags, more of them, giving the power to the player in a vanilla style"
tJzrFuyy,Lock your inventory items to prevent accidental loss of items.
a93H3mKU,A Minecraft mod which adds more tooltips.
a5ESRz6Q,Adds new houses and workstations to RS villages!
1PfY6b5p,Workaround for mods accessing JEI apis
d47NdDkH,A subtle overhaul of vanilla and mod Overworld biomes
CUfOpYVR,Adding Bounties to RS villages!
16DuAG4k,Create: Bitterballen Is an addon for Create which adds Dutch snacks.
nWOFI2Xj,PlayerEx + Wizards compatibility mod!
5ybsVotd,Stops Minecraft from interrupting music when switching worlds/servers or pausing the game.
2tEdxXOF,Awards players a certain number of points for each advancement they complete. The total number for each player can then be viewed in the Tab list.
jv0UKGOX,Lets you carry and render contraptions with lots of data
8iQcgjQ2,Provides a more usable Command Block UI
NLV0Mnpu,Let the hard coded strings change into localization strings in some mods.
x6r7yhfi,"Fancy Item Labels, perfect for your item storages"
ZPywkPEo,Makes sleeping speed up time instead of skipping to day.
wofAHCXj,Disables some modules on charm to fix incompatbility issues with owo
wvCSIW08,VM Chinese group used to check the MOD for localization patch update
1S4LxcvL,Mod that make Torchflower glow
4A86JsDZ,View entity health and other statuses. Make smacking things fun again!
SXwBmSQG,An addon to the origins mod that adds many mob themed origins.
Xvg6q5Wp,The Foundation of a Thermally-enhanced world!
8QHjGuhP,Compatibility Mod between Dynamic trees and Biomes O' Plenty
UCpApD3P,A modpack contains mods that improve the vanilla game experience without changing the game's mechanism.
s3dmwKy5,A library mod aimed at abstracting mod loaders and providing various utilities for our mods.
uJ0YMl4f,Change RS Strongholds to be in Better Stronghold's style
eBiNxmRM,"This datapack add Saturated, a new dimension, and The Void as a bonus.

Singes eyeballs since day 1.

Originally from Planet Minecraft"
aXZALOTh,An accessibility addon for the Cobblemon mod. Adds a particle effect to Shiny Pokemon!
xu15hkKT,🧟‍♀️🌾 Allows changing the default chance a zombie spawns as the villager variant.
XydXDWwT,A wynncraft mod to show total damage within a specific period of time
9paueCZy,Compatibility Mod between Dynamic trees and Quark
xsFn8GIq,Remove the pitch black bottom half of the skybox at low Y levels. For skyblock players.
uPkIzDYf,a horror mod pack that is spooky
Th33t82F,Change the appearance of your items without modifying their behavior/stats!
d6GPje96,"Automatically generate vertical slabs for every instance of SlabBlock, without adding a single new block!"
HFlxNpln,Animate almost any Minecraft texture with JSON and OptiFine files. Texture configuration API. 1.16-1.20
UnAEo77V,Assortment of decor and furniture
tKUU4TXD,Speedrunning mod that renders a preview of the world while it's generating.
TQyaHwzF,Harvest crops in an area
FZGNeNIO,Updated version of ToroHealth for Fabric 1.19.3 and newer
hi2dSXTu,Simple port of the elevator from OpenBlocks to 1.8+
VUmd23oG,"Skyblock Modpack, which is all about the Mod Create"
XJ9is6vj,Makes Minecraft more immersive!
xZQOoOaY,A simple mod that adds footprint particle for mobs.
jkb861Ih,Liven your world with ducks!
qUbxpIPN,Change RS Dungeons to be in Better Dungeon's style
TsEhjL6r,Adds an overlay (similar to getting close to world border) when low on health
vtYpD93u,A config API that allows for easy and flexible loading and saving of mod configs and generates vanilla-like config screens.
eFDDpt8w,Choose between 60+ suits and become a real Superhero in Minecraft!
6vhHOIKw,makes enchantment names have icons and colors for enchanted books and items and colored enchanting
YiAbZis2,"Modular, persistent, programmable computers and robots."
ePaZVJM4,Change RS Witch Huts to be in Better Witch Hut's style
WJRzpgpq,"In the midst of the journey of our life, I found myself in a dark wood without paths. The Wood is known as Aylyth."
TkC4Gtkt,"A Forge port of Indium, providing FRAPI support for Embeddium"
SFBuyD9e,"😭 Ghasts drop their tears periodically when a player is close, allowing sustainable farming."
WQ8xE11Z,Change RS Monuments to be in Better Ocean Monument's style
8Xv7wkWd,A partially buried Jungle Fortress to explore with towers above!
M0aimenU,Creates high-resolution isometric screenshots of game objects
B1vBJNM4,Fog control made easy
DOk6Gcdi,"Simple, but configurable nicknaming mod allowing your server's players (and admins) to change their nickname with full formatting support"
9vaHfaHw,Expands upon the vanilla raid system to allow for more advanced raid mechanics
M185nxi6,Adds a new ship dungeon and lets illagers use boats.
ggmtYNuc,A fabric mod that adds a body temperature system.
jfvCMH0K,A simple mod that adds cape-like physics to the elytra when worn by the player.
264clomZ,Quality of Life improvements for Villagers
445bpKSe,Fix potion/experience sync issue when players change dimension.
UaS8ROxa,Extremely lightweight with shadows and reflections
onDuQF5e,Status effect display overhaul: Display them in any menu! And way more compact.
hsOK0gUP,Adds many cute plushies to the game!
npA68nxC,Spawners that break after X amount of mob spawns
oYrEfh82,"Makes the ores in Minecraft glow and easier to see in the dark Glowing, Visible, Emissive, Outline"
wF189hn9,Minimalist vanilla-like widget to display your armor items and their durability. Forked by uku.
hIO8IsD8,RFTools Base: base mod for all McJty tech mods
dSxaHfLO,Keep you refined storage stocked with crafteable items
ibcDWYTR,A concept for a final boss to conclude pillager raids! The original idea for the mob was selected from a competition where 8 fantastic builders submitted organic builds representing new ideas for Minecraft. Congrats to Spritzu for their idea being chosen!
4AiJdRfV,"Unofficial Fork of CaffeineMC's ""Phosphor"", made to work with FML"
ghjoiQAl,A Mixin loader designed for maximum compatibility.
f4hp6FTb,"A port of Yyon's original grappling hook mod - The mod adds grappling hooks with several different modifiers to improve traversal within your world, ranging from force fields to double hooks."
UMmSTwE0,"The sword stuck in the pedestal glows with a holy light, carrying the smell of cherry blossoms with every swing."
boFjx9eY,Turns unsightly dirt hills into pretty stone cliffs
8bcFGNZj,Allows to modify the scoreboard sidebar
WfPGKC8F,Fixed a Village ChunkLoading Issue
MxjO3Kkh,"This mod adds the ability to chain tools to break blocks while sneaking. As long as one block is destroyed, adjacent blocks are destroyed together."
WNcgffMw,Makes chests use static block models for improved performance.
emXFPmJd,Randomly imbues mobs in your world with powerful abilities that make them more challenging to fight.
xQU6E1ee,Armor with golden trims can now distract piglins from attacking you!
sml2FMaA,A lightweight mod that allows server owners to combat xrayers.
1l7Rzc6k,This mod adds red pandas to the game.
edU0NbZZ,"Adds hammers to the game that are able to mine in a 3x3, 3x3x3, 5x5x1, 5x5x3 and finally a 5x5x5! They're pretty awesome."
2nz0kJ1N,The anvil has no expensive restrictions and compatible to any enchantment.
cO40ZIg3,"Functional Storage is an alternative take on the drawer storage solution, with an updated look and additional functionalities!"
3s19I5jr,Easily change your skin in-game without having to leave the world.
3oX3JnAP,Carpet extension providing empty world generation with new ways to obtain resources
e05g5n8a,Trims Expanded aims to expand the available materials used while making armour trims to allow you to go beyond what the vanilla game can offer in your armour sets!
Na8nA0jA,Extension to Farmers Delight adding alternatives to common meat.
y3YvmDru,Customizable fullbright (brightness/gamma) utilities with auto night-sight for 1.19+
kYywajl8,Can insert XP items and display current XP level of connected XP Storage and add some Special Items/Blocks and Deco.
pAqS7wsC,A fork of the 1.7.10 version of Azanor's Baubles mod with extra features. Backwards compatible with mods made using the original.
NPCfuUI4,Various mod integrations for Cobblemon.
dH40biZd,"With this mod you will be able to customize the background of the loading screens of the Minecraft games, placing any type of customizable image."
uudmIrRl,Bringing some originality into The Aether!
8GunilxB,Adds 10 various custom frames for use with Legendary Tooltips.
EutyxFnb,"So I Heard You Were Talking Crap About Minecraft Difficulty?
Basically a hostile mob update"
5eeNuTVB,Adds more copycats to Create mod!
29SwBNOk,Improves Slimes and makes them configurable.
ENNbyqzB,Sailing fast in style!
lU8KbfG2,📸 Takes a screenshot every time an advancement is achieved. Document your progress!
7SDalH12,Makes shields enchantable while also being a tool for modders to easily add in new shields and shield enchantments!
kZvO1mDq,Change the default world type for creating a new world in Create World screen
c5dOxpD8,Put your server configs in the common config directory!
Ld5F150B,Adds several community-made Origins that I have revised and rebalanced. Requires Origins.
wKu40yBb,Less intrusive fire
OoXncSHG,A mod that lets you change your skin in game using a GUI.
PTGd6dWp,"Mo' Structures is Fabric's best structure mod, carefully designed to enrich your world!"
752GQt04,IMBlockerFabric is a mod that It can Hide IM(InputMethod) when you don't need to input text! This mod fixes the typing bug exist in Minecraft which annoying Asian players for a long time.
jUlR3XZM,"Create theme for FTB Quests, can be used per chapter or globally. Highly customizable."
Z5JdfNas,A brand new way to play Minecraft
7mHyGgvW,Improved chests for Minecraft
bKQclmIt,"Remove the ""Give Feed Back"" and ""Report Bugs"" buttons from the game menu."
ZrW0og1b,The Vanilla 8x8 Resource Pack
l1rj36Ob,Brings back a plethora of Minecraft Alpha/Beta gameplay elements. This mod is intended for nostalgic enthusiasts who want to relive the glory days of Minecraft by tweaking the mod to their preference.
7n3HbHSE,General RFTools blocks that don't fit in a more specific category
PTSGmxET,An HD and PBR overhaul to the vanilla textures
BL7ADJ7w,"The objective of this mod is none other than to expand the world of trims added by Mojang in the latest versions, since now, each of them will be able to grant an effect."
38tpSycf,An unBEElievable dimension full of bees that becomes REALLY angry if you take their honey!
zTOq9jEI,Attack with torches!
8olVtpyI,Reimagined Minecraft GUI | Dark Theme
Fws3jl2f,Displays advanced information about ridden animals.
6hN1V6wJ,A mod that completely overhauls the vanilla enchanting system
CQ7pGNKT,"Furniture to decorate your world with! This mod adds many new blocks to decorate with, all craft-able in survival mode."
nmJ9dZtI,"This mod allows you to use Fire Aspect, Knockback, and Looting on an axe."
cChd25Tw,Fabric port of the cave dweller mod by Gargin.
zYuGPZIx,"A subsidiary module of Farmer's Delight
Added some British food and the author's casual thoughts"
6wSvZKQk,"Lets fossils generate in any biome, with more of them being found in the Deep Dark."
pJWTXnch,A highly configurable VeinMiner like forge mod that allows you to mass break ores and other useful resources by mining only one block!
ea7aacaC,"Backports modern village structures and villager designs, and generates names for villages and villagers, and other entities and structures."
pWf32rxd,Adds Pokémon icons to Xaero's Minimap
isWGaSnM,Cobblemon Add-on that implements Pokémon not yet in the official mod!
JnrDtPAE,A library mod to generated resource at runtime. Based on and made enhancements on ARRP mod.
HIhV91PH,"🙌 Hide your offhand and/or main hand in first person, optionally while holding specific items like a torch, totem of undying or a shield."
J3VVx8dO,Adds Wooden Shears.
xMTLdsFH,Adds the functionality to spawn particles when you place a block
7V0nY9Tu,MOD settings to the game menu as before 1.12.2
7jOxn6qJ,A magic mod focused on special effects and spell uniqueness
aUsTwlAp,Enables compatibility between Fastcraft and Ruins
FOaR4sIZ,Adds plenty of new cool Banner Features
SPMW1tzD,Simple but nice gun mod
c3I7Akgu,An API for modifying the food and hunger mechanics of Minecraft
1cfO6J6t,"Small Totem pop and Small Totem of undying. 
Change its scale in-game!"
g4pR0Fmy,"This mod allows you to ""move your head"" without moving your player's heads rotation. Much like you can in lunar / badlion client, hold/press the keybind and look around while staying in whichever direction you are moving."
VsM5EDoI,Library that implements the framework of all Abnormals mods!
PiuygVWJ,Allows resource packs provided by servers to be overridden and moved.
1LjfkWOR,A mod that expands and improves upon the sound and audio aspects of Minecraft!
Vj70oKlA,Prevents horses from getting worse stats than their parents
MIxwm5GN,"Requires Create and GeckoLib

Create : Armory adds a wide range of guns that combine realistic and arcade combat elements to spice up your server or world."
8bf2GogI,"It improves, upgrade and repair a lot of things while keeping the Vanilla style"
2NEKo1EX,A mod to blacklist mobs from spawning.
hudztH4j,"Timeless and Classics Guns is a gun mod for Minecraft (1.16.5 and 1.18.2) created by Timeless Squad and creator NekoCrane.
 ** This mod uses some of the architecture of Mrcrayfish's guns **"
3Gdi7Qgq,An addon for Skyblock Builder which provides GUIs to easily modify and view teams
PPRbie2R,Trading system based on gaining points from selling items and buying them back from the shop
BfFhIqA7,Creates an area or distance sonic attack with 2 new horns.
fCpuZIcM,Only load server resource packs when necessary
S4eFpJFD,"🐍 Extract poison from cave spiders, pufferfish and bees with an empty glass bottle."
6su8A6OH,Bug fixes and optimizations for Vanilla 1.7.10 and a few mods.
5TWoVsKB,Adds Chefs and Cook houses to RS villages!
XSSmFELw,"As the title implies, Bushy Leaves makes leaves more bushy. Now works with mods!"
6a16628x,MixinBootstrap is a temporary way of booting Mixin in a MinecraftForge production environment.
ge1sOdFH,"A difficult, survival-based mod that adds body temperature and thirst!"
lyvwxqAy,A comprehensive skill tree mod with a focus on combat specialisations (classes)
6X5wjPTJ,Pipes!
Or9UFKR8,"A Totaly reformed modpack from the previous, based on ProjectE and with other mods"
Agw7MFEL,Make it not rain over the cloud level
LBl4Qguc,Grants EXP for your team when you capture a wild Pokemon.
GNtptqqU,View maps from your inventory
PYQD8noM,Library with common code for some of my modifications.
FOY0uIwP,"All that's spooky, abandoned and taken over by nature"
9fsxv7Yp,"A multi-stage, story-driven, settler's experience, where you are tasked with founding, building up, and defending a modular settlement from the forces of the Nether, then taking the fight to them as you construct your own Nether Fortress!"
dqHyaXIs,Updates tamed wolves to look like actual dogs (41 new dog breeds)
wNxIBREV,Death messages with coordinates! Never waste time searching for your items ever again.
tEcCNQe7,"Improvements for your signs and frames on your Fabric/Quilt server. Passthrough signs, retain sign text, copy signs & more!"
E6BFl96N,Keep items and fluids in your Applied Energistics 2 ME-System in stock.
ntMyNH8c,Library for MMF-Group's mod.
Eoxi2LJd,Configurable ease in-out inventory UI transitions.
rYocd2LE,"This Datapack, the Standalone version of Dungeons and Taverns Overhaul of the Stronghold, Overhauls the Stronghold from the ground up With 417 Different rooms and 5 sub stronghold types
Fair warning, your world will Freeze Upon first Structure generation."
3b1CFIR5,"Neat, tiny attribute displays for all mobs with great customization!"
YfceStYb,Adds a decorative basket with apples.
e0IclJLr,"RFTools addon mod adding the builder, shield system and much more"
G1ckZuWK,The Mixin Library for 1.8 - 1.12.2.
QTqrHaYC,Adds a Darkmode for the Create Mod Forge/Fabric
iu1jkWqa,"A highly optimized networking cable system for items, energy, fluids, information, etc."
1BGsoydA,"Minecraft Mod, which brings rage during fights"
flsPN5I7,"Adds a variety of cats, dogs, and parrots. Parrots are backported to versions older than 1.12.2"
Obi0OZ4c,Fully grown crops drop XP!
G2Ib5c56,MCPatcher's CIT w/o OptiFine. A reliable fork of CITResewn!
G2Hmyf0G,A revamp of the original Keystrokes mod from Canelex
SpgcWKWY,Makes Cobblemon ores emit light. Fabric and Forge.
D5k8BTVz,Improves visual fidelity without interrupting gameplay
djv5t1An,Configure more than advancements by KubeJS
U1jdQuSf,"A mod that adds structures, mobs, bosses and blocks themed aroung the graveyard."
lHYimyfq,"Improves aspects of minecraft worldgen, namely caves, caverns etc."
vEAzPrqy,Compact End-themed expansion.
gPEcet33,Show state on taskbar
1vkzEZjE,Makes the void hate you a little less (and vice-versa). Fall down and come back out on top.
guhQmZQI,This mod adds in a terrifying entity into your world that will stalk you and try to kill you.
O6Sh7btX,👾 Allows all mobs which can carry equipment to pick up items from the floor.
bd8nwTGy,🔨 Repair placed anvils with iron ingots and damage them with obsidian.
wxWOoXgy,Waila/Hwyla addon which adds all the info.
gKNwt7xu,Create a portal to anywhere from anywhere
9pubtjcn,Ports the Fast Bubbles setting from Bedrock Edition!
FCTyEqkn,Search for items in nearby inventories - now functions server-side only!
mAHhTQrE,Nearly complete selection of Pokémon Shuffle's Style icons for Xaero's Minimap for use in Cobblemon
DE3HDNhk,Enables the functioning of BareRuins
ubxU84eR,Adds predicates for more interactive item models
UKDLi1GJ,adds various new mobs to Minecraft
eVAp8Nkw,Adds support for crafting with EMI on Applied Energistics 2 terminals
BKyMf6XK,A not so simple mod that lets you ruin all your friendships :)
FRSckbRo,Classic Minecraft textures but with more complex 3D models
Bta0Pt47,Show number of bees and honey level in hives and nests
kxuXGLth,Attempts to fix 1.7 Aroma Dimension
OJLdOa8k,"Customisable delay between music tracks, updated to 1.20.5!"
EuloLapn,Door open & close animation. Connects double doors to open simultaneously. Supports iron doors and redstone signals
Q2HFmuJV,A datapack that adds a new horrifying creature to minecrafts caves and dark spaces
xDvYGZrH,"Smelting Plus is a simple data pack for Minecraft Java that allows for better recycling when you melt your found or crafted items. Instead of only receiving a gold or iron nugget, you will now receive an ingot."
AM3NyLOZ,Decorate your railroad world with decorations like catenary!
o14djL4t,"Isle of Berk is a fan-made Minecraft Mod focusing on the How to Train Your Dragon universe (Movies, Series, Games, Books and so on)."
AnNXBWLE,Increase your step height - like autojump but without the disadvantages
uDMPYwAN,A HUD mod for Minecraft
4FiHT2RI,A Pack made for the Minecraft VIPs
cRJuLZ2D,Chickens shed their feathers occasionally.
qEOSTnVx,Create like textures for the Construction Wand with a slight magical vibe
eOR9OYkM,A simplistic twist on the default minecraft textures!
fYYSAh4R,Make the camera more realistic in the first-person view.
TDM3I9Mu,[1.19.2]! Carefully selected mods put together to experience the perfect ambience in minecraft.
iw8lsmHb,A client-side utility mod for MCC Island
ecVvYtj3,Rank-based permission manager for servers.
aTaCgKLW,"Silk is a Minecraft API for Kotlin - targetting Fabric, Quilt and Paper"
6wP3NByD,"Customize default attributes of any item, with modded attributes & items supported."
Gx3OPAlS,🐮🍄 Adds a chance for mooshrooms to spawn naturally everywhere in place of a cow.
sH9tXU9f,Pump in liquid fuel to blaze burners
dozIwY9u,A mod that wil save you when dying more then once from a death source
SeCuopwJ,XXL Packets is a fork of XL Packets which raises the packet size limit from 2MB to the Java Integer limit (2.147483647 GB).
MNW3LUwK,A performance mod pack to save your computer from doubling as a starchy spud with a remarkably optimized collection of mods!
fExf3hZa,Adds crafting recipes for horse armour and saddles.
mvs7RoIW,Allows you to grow trees in small pots.
VyxkIxCd,A mod which allows to toggle fullbright in 1.19 & 1.20
49ZofO4f," Ender IO is a full-featured tech mod. It has armor, tools, weapons, machines, conduits, inventory management, mobs, etc. "
XmqpPthc,"Add some style to your movement with fully animated dive rolls, wall runs, and more!  :3"
